ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0101;ΔΡΑΜΑΣ;9001;ΔΟΞΑΤΟΥ;9.993;10.527;20.520
0101;ΔΡΑΜΑΣ;9002;ΔΡΑΜΑΣ;24.729;27.054;51.783
0101;ΔΡΑΜΑΣ;9003;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;6.388;6.335;12.723
0101;ΔΡΑΜΑΣ;9004;ΠΑΡΑΝΕΣΤΙΟΥ;4.529;4.698;9.227
0101;ΔΡΑΜΑΣ;9005;ΠΡΟΣΟΤΣΑΝΗΣ;11.864;12.109;23.973
0102;ΕΒΡΟΥ;9006;ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ;29.733;31.446;61.179
0102;ΕΒΡΟΥ;9007;ΔΙΔΥΜΟΤΕΙΧΟΥ;15.374;15.423;30.797
0102;ΕΒΡΟΥ;9008;ΟΡΕΣΤΙΑΔΑΣ;23.350;23.080;46.430
0102;ΕΒΡΟΥ;9009;ΣΑΜΟΘΡΑΚΗΣ;2.119;1.998;4.117
0102;ΕΒΡΟΥ;9010;ΣΟΥΦΛΙΟΥ;10.653;10.677;21.330
0103;ΘΑΣΟΥ;9011;ΘΑΣΟΥ;6.833;7.086;13.919
0104;ΚΑΒΑΛΑΣ;9012;ΚΑΒΑΛΑΣ;32.197;35.529;67.726
0104;ΚΑΒΑΛΑΣ;9013;ΝΕΣΤΟΥ;13.235;13.624;26.859
0104;ΚΑΒΑΛΑΣ;9014;ΠΑΓΓΑΙΟΥ;18.220;18.639;36.859
0105;ΞΑΝΘΗΣ;9015;ΑΒΔΗΡΩΝ;13.507;14.065;27.572
0105;ΞΑΝΘΗΣ;9016;ΜΥΚΗΣ;9.818;9.806;19.624
0105;ΞΑΝΘΗΣ;9017;ΞΑΝΘΗΣ;24.634;27.021;51.655
0105;ΞΑΝΘΗΣ;9018;ΤΟΠΕΙΡΟΥ;8.074;8.222;16.296
0106;ΡΟΔΟΠΗΣ;9019;ΑΡΡΙΑΝΩΝ;10.102;10.560;20.662
0106;ΡΟΔΟΠΗΣ;9020;ΙΑΣΜΟΥ;9.855;10.393;20.248
0106;ΡΟΔΟΠΗΣ;9021;ΚΟΜΟΤΗΝΗΣ;26.011;28.653;54.664
0106;ΡΟΔΟΠΗΣ;9022;ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ;10.897;11.358;22.255
0201;ΗΜΑΘΙΑΣ;9023;ΑΛΕΞΑΝΔΡΕΙΑΣ;21.219;21.659;42.878
0201;ΗΜΑΘΙΑΣ;9024;ΒΕΡΟΙΑΣ;29.397;30.985;60.382
0201;ΗΜΑΘΙΑΣ;9025;ΝΑΟΥΣΑΣ;16.239;16.957;33.196
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9026;ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ;17.718;19.686;37.404
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9027;ΒΟΛΒΗΣ;12.977;13.468;26.445
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9028;ΔΕΛΤΑ;17.966;18.543;36.509
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9029;ΘΕΡΜΑΙΚΟΥ;15.354;16.415;31.769
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9030;ΘΕΡΜΗΣ;17.019;18.323;35.342
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9031;ΘΕΣΣΑΛΟΝΙΚΗΣ;114.265;132.497;246.762
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9032;ΚΑΛΑΜΑΡΙΑΣ;24.789;28.321;53.110
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9033;ΚΟΡΔΕΛΙΟΥ -ΕΥΟΣΜΟΥ;26.492;28.625;55.117
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9034;ΛΑΓΚΑΔΑ;25.604;26.511;52.115
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9035;ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ;30.712;34.455;65.167
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9036;ΠΑΥΛΟΥ ΜΕΛΑ;27.233;29.629;56.862
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9037;ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ;19.090;21.430;40.520
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9038;ΧΑΛΚΗΔΟΝΟΣ;15.938;16.480;32.418
0202;ΘΕΣΣΑΛΟΝΙΚΗΣ;9039;ΩΡΑΙΟΚΑΣΤΡΟΥ;14.576;15.367;29.943
0203;ΚΙΛΚΙΣ;9040;ΚΙΛΚΙΣ;32.885;34.870;67.755
0203;ΚΙΛΚΙΣ;9041;ΠΑΙΟΝΙΑΣ;18.796;19.213;38.009
0204;ΠΕΛΛΑΣ;9042;ΑΛΜΩΠΙΑΣ;16.265;16.110;32.375
0204;ΠΕΛΛΑΣ;9043;ΕΔΕΣΣΑΣ;14.784;15.547;30.331
0204;ΠΕΛΛΑΣ;9044;ΠΕΛΛΑΣ;32.224;32.847;65.071
0204;ΠΕΛΛΑΣ;9045;ΣΚΥΔΡΑΣ;10.118;10.725;20.843
0205;ΠΙΕΡΙΑΣ;9046;ΔΙΟΥ - ΟΛΥΜΠΟΥ;13.743;13.524;27.267
0205;ΠΙΕΡΙΑΣ;9047;ΚΑΤΕΡΙΝΗΣ;40.864;42.792;83.656
0205;ΠΙΕΡΙΑΣ;9048;ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ;9.660;9.985;19.645
0206;ΣΕΡΡΩΝ;9049;ΑΜΦΙΠΟΛΗΣ;7.674;7.917;15.591
0206;ΣΕΡΡΩΝ;9050;ΒΙΣΑΛΤΙΑΣ;15.608;15.823;31.431
0206;ΣΕΡΡΩΝ;9051;ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ;11.990;11.806;23.796
0206;ΣΕΡΡΩΝ;9052;ΗΡΑΚΛΕΙΑΣ;15.438;15.377;30.815
0206;ΣΕΡΡΩΝ;9053;ΝΕΑΣ ΖΙΧΝΗΣ;8.686;8.884;17.570
0206;ΣΕΡΡΩΝ;9054;ΣΕΡΡΩΝ;35.999;38.338;74.337
0206;ΣΕΡΡΩΝ;9055;ΣΙΝΤΙΚΗΣ;19.895;20.376;40.271
0207;ΧΑΛΚΙΔΙΚΗΣ;9056;ΑΡΙΣΤΟΤΕΛΗ;10.707;10.742;21.449
0207;ΧΑΛΚΙΔΙΚΗΣ;9057;ΚΑΣΣΑΝΔΡΑΣ;7.475;7.529;15.004
0207;ΧΑΛΚΙΔΙΚΗΣ;9058;ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ;15.741;16.829;32.570
0207;ΧΑΛΚΙΔΙΚΗΣ;9059;ΠΟΛΥΓΥΡΟΥ;10.955;11.553;22.508
0207;ΧΑΛΚΙΔΙΚΗΣ;9060;ΣΙΘΩΝΙΑΣ;6.352;6.336;12.688
0301;ΓΡΕΒΕΝΩΝ;9061;ΓΡΕΒΕΝΩΝ;17.557;16.916;34.473
0301;ΓΡΕΒΕΝΩΝ;9062;ΔΕΣΚΑΤΗΣ;4.446;4.297;8.743
0302;ΚΑΣΤΟΡΙΑΣ;9063;ΚΑΣΤΟΡΙΑΣ;19.839;20.270;40.109
0302;ΚΑΣΤΟΡΙΑΣ;9064;ΝΕΣΤΟΡΙΟΥ;4.066;4.024;8.090
0302;ΚΑΣΤΟΡΙΑΣ;9065;ΟΡΕΣΤΙΔΟΣ;7.210;7.311;14.521
0303;ΚΟΖΑΝΗΣ;9066;ΒΟΙΟΥ;14.834;14.950;29.784
0303;ΚΟΖΑΝΗΣ;9067;ΕΟΡΔΑΙΑΣ;22.387;23.041;45.428
0303;ΚΟΖΑΝΗΣ;9068;ΚΟΖΑΝΗΣ;32.368;33.214;65.582
0303;ΚΟΖΑΝΗΣ;9069;ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ ;12.156;11.641;23.797
0304;ΦΛΩΡΙΝΑΣ;9070;ΑΜΥΝΤΑΙΟΥ;12.698;12.593;25.291
0304;ΦΛΩΡΙΝΑΣ;9071;ΠΡΕΣΠΩΝ;3.625;3.613;7.238
0304;ΦΛΩΡΙΝΑΣ;9072;ΦΛΩΡΙΝΑΣ;28.096;29.370;57.466
0401;ΑΡΤΑΣ;9073;ΑΡΤΑΙΩΝ;19.870;21.168;41.038
0401;ΑΡΤΑΣ;9074;ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ;6.175;5.636;11.811
0401;ΑΡΤΑΣ;9075;ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ ;6.942;6.741;13.683
0401;ΑΡΤΑΣ;9076;ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ;7.729;7.916;15.645
0402;ΘΕΣΠΡΩΤΙΑΣ;9077;ΗΓΟΥΜΕΝΙΤΣΑΣ;14.251;14.316;28.567
