id,district_id,name,men,women
9001,101,ΔΟΞΑΤΟΥ,9993,10527
9002,101,ΔΡΑΜΑΣ,24729,27054
9003,101,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,6388,6335
9004,101,ΠΑΡΑΝΕΣΤΙΟΥ,4529,4698
9005,101,ΠΡΟΣΟΤΣΑΝΗΣ,11864,12109
9006,102,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,29733,31445
9007,102,ΔΙΔΥΜΟΤΕΙΧΟΥ,15374,15423
9008,102,ΟΡΕΣΤΙΑΔΑΣ,23350,23080
9009,102,ΣΑΜΟΘΡΑΚΗΣ,2119,1998
9010,102,ΣΟΥΦΛΙΟΥ,10652,10677
9011,103,ΘΑΣΟΥ,6832,7086
9012,104,ΚΑΒΑΛΑΣ,32196,35529
9013,104,ΝΕΣΤΟΥ,13235,13624
9014,104,ΠΑΓΓΑΙΟΥ,18220,18639
9015,105,ΑΒΔΗΡΩΝ,13507,14065
9016,105,ΜΥΚΗΣ,9818,9806
9017,105,ΞΑΝΘΗΣ,24634,27021
9018,105,ΤΟΠΕΙΡΟΥ,8074,8222
9019,106,ΑΡΡΙΑΝΩΝ,10102,10560
9020,106,ΙΑΣΜΟΥ,9855,10392
9021,106,ΚΟΜΟΤΗΝΗΣ,26011,28653
9022,106,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,10897,11357
9023,201,ΑΛΕΞΑΝΔΡΕΙΑΣ,21219,21659
9024,201,ΒΕΡΟΙΑΣ,29397,30985
9025,201,ΝΑΟΥΣΑΣ,16239,16957
9026,202,ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,17718,19686
9027,202,ΒΟΛΒΗΣ,12977,13468
9028,202,ΔΕΛΤΑ,17965,18543
9029,202,ΘΕΡΜΑΙΚΟΥ,15354,16415
9030,202,ΘΕΡΜΗΣ,17019,18323
9031,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,114265,132497
9032,202,ΚΑΛΑΜΑΡΙΑΣ,24789,28320
9033,202,ΚΟΡΔΕΛΙΟΥ -ΕΥΟΣΜΟΥ,26491,28625
9034,202,ΛΑΓΚΑΔΑ,25604,26511
9035,202,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,30712,34455
9036,202,ΠΑΥΛΟΥ ΜΕΛΑ,27233,29629
9037,202,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,19090,21430
9038,202,ΧΑΛΚΗΔΟΝΟΣ,15937,16480
9039,202,ΩΡΑΙΟΚΑΣΤΡΟΥ,14575,15367
9040,203,ΚΙΛΚΙΣ,32885,34870
9041,203,ΠΑΙΟΝΙΑΣ,18796,19213
9042,204,ΑΛΜΩΠΙΑΣ,16265,16110
9043,204,ΕΔΕΣΣΑΣ,14784,15547
9044,204,ΠΕΛΛΑΣ,32224,32847
9045,204,ΣΚΥΔΡΑΣ,10118,10725
9046,205,ΔΙΟΥ - ΟΛΥΜΠΟΥ,13743,13524
9047,205,ΚΑΤΕΡΙΝΗΣ,40864,42792
